,value,value,value,value,value,value,value,value,value,value,value,value
tele_station_name.th,ที่ทำการอุทยานแห่งชาติน้ำตกโยง,ทุ่งสง,น้ำตกปลิว,บ้านหน้าเขา,บ้านหินราว,บ้านเขาโร,บ้านไสใหญ่เหนือ,ฝายคลองท่าเลา,ฝายคลองเปิก,รร.บ้านพูน,หน่วยพิทักษ์อุทยานแห่งชาติที่ ขป.๔ (บ้านน้ำตก),ไร่ วงศ์ ทอง เมฆ ดี
date,,,,,,,,,,,,
2021-07-08 15:00,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-08 16:00,21.4,33.8,23.2,0.5,18.5,0.0,28.5,8.4,29.4,13.6,17.4,29.2
2021-07-08 17:00,18.2,27.8,22.0,3.5,18.5,0.0,25.5,8.4,16.4,13.6,17.4,29.2
2021-07-08 18:00,18.0,27.8,22.0,3.5,18.5,0.0,25.5,8.4,16.4,13.6,17.4,29.2
2021-07-08 19:00,18.0,27.8,22.0,3.5,18.5,0.0,25.5,8.4,16.4,13.6,17.4,29.2
2021-07-08 20:00,18.0,27.8,22.0,3.5,18.5,0.0,25.5,8.4,16.4,13.6,17.4,29.2
2021-07-08 21:00,18.0,27.8,22.0,3.5,19.0,0.0,25.5,8.4,16.4,13.6,17.4,29.4
2021-07-08 22:00,18.0,27.8,22.0,7.0,19.5,0.0,25.5,8.4,16.4,14.4,18.0,29.6
2021-07-08 23:00,18.0,27.8,22.0,0.0,0.0,0.0,25.5,8.4,16.4,14.4,18.0,29.6
2021-07-09 00:00,18.0,27.8,22.0,3.5,19.5,0.0,26.0,8.4,16.4,14.4,18.0,29.6
2021-07-09 01:00,18.0,27.8,22.0,3.5,20.0,0.0,26.0,8.4,16.4,14.4,18.0,29.6
2021-07-09 02:00,18.2,28.4,22.6,4.75,0.0,0.0,25.0,9.0,16.8,14.6,17.2,32.6
2021-07-09 03:00,21.4,31.8,25.2,14.5,22.5,0.0,28.0,12.2,20.6,15.8,35.8,35.0
2021-07-09 04:00,21.4,32.0,25.2,14.5,22.5,0.0,29.0,12.2,20.6,16.2,39.0,35.0
2021-07-09 05:00,21.4,32.0,25.2,14.5,22.5,0.0,29.0,12.2,20.6,16.2,39.2,35.0
2021-07-09 06:00,21.4,32.0,25.2,12.25,24.0,0.0,25.5,12.2,20.6,16.2,39.2,35.0
2021-07-09 07:00,21.4,32.6,25.2,0.0,25.0,0.0,26.0,12.4,20.8,16.6,39.6,35.4
2021-07-09 08:00,21.6,33.2,25.4,15.0,36.5,0.0,26.0,12.4,20.6,20.0,42.2,36.6
2021-07-09 09:00,23.6,38.8,27.6,18.0,38.0,0.0,28.5,15.2,22.6,22.4,46.6,39.4
2021-07-09 10:00,25.2,40.4,28.8,20.0,41.0,0.0,29.5,16.0,23.8,23.8,68.2,40.4
2021-07-09 11:00,25.4,40.6,29.0,20.5,41.0,0.0,29.5,16.2,24.0,24.0,70.8,40.8
2021-07-09 12:00,23.2,37.8,26.2,20.5,41.0,0.0,27.5,16.2,22.6,22.4,70.8,40.8
2021-07-09 13:00,11.4,17.6,11.0,18.5,28.0,0.0,10.0,12.4,13.2,12.8,61.2,18.6
2021-07-09 14:00,9.4,15.0,9.4,0.0,0.0,0.0,0.0,9.6,9.8,10.6,57.8,14.8
2021-07-09 15:00,14.2,21.0,18.6,22.5,33.5,0.0,9.5,12.6,15.4,33.0,71.8,61.2
2021-07-09 16:00,14.4,21.2,19.0,25.25,45.5,0.0,10.0,12.4,15.6,37.4,78.2,66.4
2021-07-09 17:00,14.4,21.6,19.2,9.5,45.5,0.0,10.0,12.8,15.8,38.6,79.8,67.2
2021-07-09 18:00,14.4,21.6,19.2,25.75,0.0,0.0,10.0,13.0,15.8,38.6,80.4,67.4
2021-07-09 19:00,14.4,21.6,19.2,25.75,46.0,0.0,10.0,13.0,15.8,38.6,80.4,67.4
2021-07-09 20:00,14.4,21.6,19.2,25.25,46.0,0.0,12.0,13.0,15.8,38.6,80.6,67.4
2021-07-09 21:00,14.6,21.6,19.2,25.25,46.0,0.0,12.0,13.0,15.8,38.6,80.6,67.2
2021-07-09 22:00,14.6,21.6,19.2,25.25,45.0,0.0,12.0,13.0,15.8,37.8,80.0,67.0
